living_area_sqft,lot_area_sqft,overall_quality,year_built,renovation_year,bedrooms,bathrooms,garage_spaces,distance_downtown_km,school_score,crime_index,transit_score,energy_efficiency,mortgage_rate_pct,unemployment_rate_pct,neighborhood,home_type,condition,heating_type,sale_price
1852.6,5978.7,5,1961,1987,3,2.0,1.0,8.19,78.9,18.5,75.1,46.7,5.56,7.33,NorthHeights,Detached,Good,HeatPump,743598.0
1111.4,7465.0,8,1973,1973,5,1.5,2.0,4.53,100.0,21.0,72.8,46.2,5.56,4.32,SouthGate,Detached,Average,Gas,679512.0
2194.5,3420.0,5,1965,1965,2,2.5,1.0,10.44,67.9,22.4,53.5,49.5,5.09,6.01,Riverside,Detached,Average,Gas,678197.0
2358.9,3131.2,7,2006,2017,5,1.5,3.0,3.47,73.5,9.1,100.0,68.4,6.34,5.91,OldTown,Detached,Average,HeatPump,850020.0
786.1,8032.2,6,1963,1963,3,2.0,2.0,5.97,88.3,28.9,59.2,46.9,3.8,4.36,NorthHeights,Detached,Average,HeatPump,572906.0
1006.0,4569.5,6,1933,1933,4,1.5,2.0,10.51,67.0,24.6,68.7,16.4,3.62,5.92,OldTown,Townhouse,Good,Gas,456944.0
1732.1,3011.9,6,1962,1962,2,1.5,2.0,1.2,37.9,23.2,95.4,52.2,5.74,6.18,EastMarket,Condo,Poor,Gas,555711.0
1463.2,12849.3,5,1975,1999,4,3.0,1.0,19.59,69.0,37.8,26.4,33.0,3.87,6.31,Riverside,Condo,Good,Gas,530271.0
1639.5,4928.3,4,1967,1967,4,2.0,1.0,19.55,52.5,17.8,33.1,55.0,5.07,4.45,LakeView,Condo,Poor,Gas,445574.0
1193.2,14353.1,8,1973,1973,4,1.5,1.0,10.57,71.3,12.4,57.6,54.4,4.96,5.28,NorthHeights,Duplex,Poor,Gas,685764.0
2304.7,7324.1,9,2024,2024,5,2.0,2.0,3.88,62.2,7.6,100.0,69.5,6.35,5.46,LakeView,Townhouse,Excellent,Gas,1385147.0
2217.4,8592.9,9,1961,1961,4,2.0,2.0,14.32,,33.3,58.7,53.4,7.69,5.45,Downtown,Detached,Excellent,HeatPump,1133191.0
1691.9,6341.9,5,2006,2006,4,1.5,2.0,5.18,71.5,40.6,84.4,70.4,6.3,4.43,OldTown,Townhouse,Average,Gas,583156.0
2532.3,1463.7,5,2025,2025,4,2.0,1.0,23.66,61.1,40.0,57.7,73.7,5.06,7.03,GreenValley,Detached,Good,HeatPump,745612.0
1970.8,3640.1,5,2008,2011,4,2.0,2.0,1.8,72.8,22.7,84.0,77.7,4.11,5.89,SouthGate,Townhouse,Excellent,Gas,724828.0
