url_length,num_dots,num_hyphens,num_digits,num_subdomains,has_ip_address,has_at_symbol,uses_https,suspicious_tld,shortened_url,domain_age_days,dns_record_age_days,redirect_count,external_link_ratio,request_url_ratio,anchor_url_ratio,form_action_external,iframe_count,popup_count,script_count,url_entropy,brand_mismatch,login_form,certificate_days_left,page_rank_proxy,spelling_score,favicon_external,nonstandard_port,page_category,tls_issuer,is_phishing
61.0,3,0,4,1,0,0,1,0,0,1148.0,305.0,1,0.0922,0.3444,0.2069,0,0,2,14.0,3.396,0,0,37.0,38.02,93.01,0,0,blog,missing,0
40.0,2,0,3,3,0,0,1,0,1,91.0,153.0,3,0.1259,0.3854,0.7567,0,1,3,22.0,4.603,1,1,-30.0,2.19,93.74,0,0,ecommerce,unknown_ca,1
17.0,5,2,6,3,0,0,1,0,0,603.0,517.0,2,0.3765,0.4516,0.319,0,0,1,7.0,2.66,0,0,28.0,43.95,95.34,0,0,banking,unknown_ca,0
55.0,2,2,3,0,0,0,1,0,1,308.0,175.0,0,0.2264,0.686,0.4304,0,0,0,12.0,3.509,1,1,-30.0,58.62,89.95,0,0,social,trusted_ca,1
36.0,0,1,1,2,0,0,1,0,0,250.0,103.0,2,0.3786,0.3823,0.6362,0,0,0,19.0,2.629,0,1,241.0,44.47,95.11,0,0,cloud,trusted_ca,0
83.0,0,0,0,0,0,0,1,0,0,2904.0,1519.0,1,0.4104,0.236,0.1544,0,0,1,7.0,2.771,0,1,148.0,38.52,100.0,0,1,banking,trusted_ca,0
41.0,1,0,3,3,0,0,1,0,0,3605.0,2693.0,3,0.1072,0.2033,0.32,0,2,2,18.0,3.624,0,0,343.0,14.18,88.88,0,0,social,missing,0
36.0,3,0,4,2,0,0,1,0,0,667.0,592.0,0,0.2757,0.2097,0.1542,0,0,0,8.0,3.338,0,0,167.0,35.65,91.23,0,0,banking,trusted_ca,0
39.0,0,1,4,1,1,0,0,0,0,251.0,86.0,0,0.2122,0.2061,0.558,0,1,0,11.0,3.075,0,1,118.0,16.53,93.53,0,0,ecommerce,trusted_ca,1
45.0,6,6,2,1,0,0,0,1,0,616.0,606.0,0,0.0934,0.1362,0.2898,0,1,0,26.0,3.805,0,1,284.0,71.71,93.54,0,0,social,missing,0
106.0,1,1,2,1,0,0,1,0,0,614.0,475.0,1,0.5925,0.4707,0.4864,1,0,0,4.0,4.124,1,0,188.0,10.18,96.97,0,0,ecommerce,trusted_ca,1
22.0,4,1,9,0,1,0,1,0,0,637.0,449.0,0,0.7386,0.1232,0.497,0,2,0,19.0,2.653,0,0,159.0,25.08,98.93,0,0,other,unknown_ca,0
16.0,4,3,1,1,0,1,1,0,0,330.0,374.0,0,0.1905,0.6838,0.2796,0,0,2,16.0,2.543,0,1,148.0,52.54,100.0,0,0,banking,unknown_ca,0
85.0,0,0,3,2,0,0,0,0,0,5971.0,4279.0,0,0.5024,0.4028,0.2293,0,1,1,21.0,3.748,0,1,1.0,38.62,100.0,0,0,cloud,trusted_ca,0
54.0,5,0,1,3,0,0,1,1,0,215.0,0.0,0,0.3032,0.1519,0.6847,0,0,0,16.0,3.982,0,0,164.0,11.06,83.16,0,0,social,trusted_ca,0
70.0,1,1,4,1,0,0,0,1,0,1256.0,310.0,1,0.0311,0.1849,0.7592,0,0,0,14.0,3.211,0,0,-30.0,30.78,100.0,0,0,ecommerce,trusted_ca,0
29.0,2,0,4,0,0,0,1,0,0,890.0,642.0,0,0.4781,0.224,0.3774,0,0,0,8.0,1.922,0,0,172.0,29.09,82.36,0,0,banking,unknown_ca,0
28.0,2,2,7,1,0,1,1,0,0,800.0,395.0,3,0.081,0.494,0.2645,0,0,0,19.0,4.429,0,0,60.0,62.07,98.09,1,0,banking,trusted_ca,0
19.0,1,0,2,2,0,0,1,0,0,644.0,247.0,1,0.5179,0.4298,0.0923,0,0,1,5.0,4.414,0,0,168.0,45.67,86.33,0,0,banking,trusted_ca,1
64.0,1,0,6,3,0,0,1,0,0,3993.0,1165.0,2,0.3008,0.6041,0.5178,0,0,0,13.0,3.909,0,1,125.0,22.73,93.05,0,0,blog,trusted_ca,0
46.0,0,1,2,1,1,0,1,0,0,960.0,1004.0,1,0.4558,0.3355,0.1553,0,0,0,8.0,4.94,0,0,67.0,62.0,96.21,0,0,social,trusted_ca,0
80.0,0,0,6,2,0,0,1,0,1,291.0,165.0,0,0.3837,0.661,0.1692,0,0,1,8.0,3.906,1,1,190.0,38.12,90.32,0,0,ecommerce,trusted_ca,1
28.0,2,0,4,0,0,0,1,1,0,3543.0,1135.0,0,0.5592,0.3826,0.5463,0,0,0,10.0,3.577,0,0,123.0,21.07,96.39,0,0,ecommerce,unknown_ca,0
59.0,5,2,2,1,1,0,0,1,0,145.0,230.0,0,0.4866,0.296,0.5357,0,1,0,9.0,3.433,0,1,166.0,27.83,95.71,1,0,ecommerce,trusted_ca,1
73.0,2,1,8,1,0,0,1,0,1,159.0,122.0,0,0.5651,0.4269,0.5989,0,0,0,47.0,3.653,0,0,71.0,28.5,100.0,0,0,blog,trusted_ca,0
41.0,1,0,5,3,0,0,1,0,0,5857.0,1224.0,0,0.1533,0.806,0.111,0,0,2,44.0,2.352,0,1,231.0,38.58,87.88,0,0,other,trusted_ca,0
39.0,2,0,7,1,0,0,1,0,1,2297.0,1473.0,0,0.0889,0.4441,0.4528,0,1,3,2.0,3.353,0,0,200.0,14.9,100.0,0,0,other,trusted_ca,0
52.0,0,1,2,1,0,0,1,0,0,2699.0,2319.0,1,0.3412,0.1842,0.2315,0,0,0,23.0,3.627,0,0,217.0,8.74,89.99,0,0,banking,trusted_ca,0
84.0,1,0,7,2,0,0,1,0,0,195.0,80.0,0,0.5189,0.25,0.1874,0,0,0,38.0,4.315,1,1,113.0,31.04,80.39,0,0,other,trusted_ca,1
61.0,3,0,4,0,0,0,1,0,0,1418.0,906.0,3,0.4524,0.1089,0.6419,0,0,1,29.0,3.31,0,0,227.0,31.66,89.01,0,0,social,trusted_ca,0
95.0,2,4,11,1,0,0,0,0,0,1614.0,695.0,1,0.3039,0.6916,0.0437,1,0,0,12.0,3.699,0,0,243.0,33.1,93.45,0,0,social,trusted_ca,0
41.0,3,0,4,1,0,0,1,0,0,2665.0,1876.0,1,0.4319,0.531,0.4224,0,1,0,42.0,4.881,1,0,93.0,18.1,76.37,0,0,social,trusted_ca,0
59.0,2,0,5,5,0,0,1,0,0,1424.0,919.0,1,0.3851,0.2779,0.1256,0,0,0,18.0,2.647,0,1,26.0,22.6,81.59,0,0,banking,trusted_ca,0
63.0,2,1,1,5,0,0,1,0,1,401.0,306.0,0,0.4637,0.2477,0.4626,0,0,0,27.0,2.094,0,0,241.0,57.12,100.0,0,0,blog,trusted_ca,0
86.0,1,2,3,0,0,0,1,0,1,503.0,429.0,1,0.2957,0.3739,0.0653,0,0,0,12.0,2.431,0,0,-30.0,29.22,97.34,0,0,other,trusted_ca,0
26.0,2,1,5,1,1,0,1,0,0,854.0,570.0,3,0.618,0.4315,0.2538,0,0,0,44.0,4.168,0,0,-21.0,30.2,90.21,0,0,banking,trusted_ca,1
